Stock_Code,Source
NIFTYBEES,ETF
JUNIORBEES,ETF
LIQUIDBEES,ETF
BANKBEES,ETF
GOLDBEES,ETF
GOLDSHARE,ETF
GOLD1,ETF
PSUBNKBEES,ETF
PSUBANK,ETF
QGOLDHALF,ETF
QNIFTY,ETF
SHARIABEES,ETF
SETFGOLD,ETF
NIFTY1,ETF
HNGSNGBEES,ETF
IVZINGOLD,ETF
MOM50,ETF
HDFCGOLD,ETF
GOLDIETF,ETF
INFRABEES,ETF
AXISGOLD,ETF
MOM100,ETF
MON100,ETF
BSLGOLDETF,ETF
IVZINNIFTY,ETF
BSLNIFTY,ETF
LICMFGOLD,ETF
NIFTYIETF,ETF
NIF100BEES,ETF
NIF100IETF,ETF
CPSEETF,ETF
CONSUMBEES,ETF
DIVOPPBEES,ETF
SENSEXIETF,ETF
BANKNIFTY1,ETF
LICNETFGSC,ETF
SETFNIFBK,ETF
SETFNN50,ETF
NV20BEES,ETF
SETFNIF50,ETF
UTINIFTETF,ETF
UTISENSETF,ETF
LICNETFN50,ETF
LICNETFSEN,ETF
NV20,ETF
HDFCNIFTY,ETF
HDFCSENSEX,ETF
LICNFNHGP,ETF
SETF10GILT,ETF
NV20IETF,ETF
MIDSELIETF,ETF
LTGILTBEES,ETF
IDFNIFTYET,ETF
AXISNIFTY,ETF
LOWVOLIETF,ETF
UTINEXT50,ETF
ICICIB22,ETF
LIQUIDETF,ETF
BSE500IETF,ETF
NEXT50IETF,ETF
LIQUIDIETF,ETF
NIFTYETF,ETF
SBIETFQLTY,ETF
ABSLNN50ET,ETF
NETF,ETF
MID150BEES,ETF
UTISXN50,ETF
BANKIETF,ETF
PVTBANIETF,ETF
NPBET,ETF
ABSLBANETF,ETF
EBBETF0430,ETF
MIDCAPIETF,ETF
NEXT50,ETF
ITBEES,ETF
EBBETF0431,ETF
ALPL30IETF,ETF
ITIETF,ETF
HDFCNIFBAN,ETF
UTIBANKETF,ETF
SBIETFIT,ETF
SBIETFPB,ETF
AXISBNKETF,ETF
ESG,ETF
MOGSEC,ETF
IT,ETF
AXISTECETF,ETF
SDL26BEES,ETF
GILT5YBEES,ETF
MAFANG,ETF
AXISBPSETF,ETF
AXISHCETF,ETF
HEALTHIETF,ETF
PHARMABEES,ETF
SBIETFCON,ETF
BFSI,ETF
FMCGIETF,ETF
AXISCETF,ETF
MASPTOP50,ETF
BSLSENETFG,ETF
HEALTHY,ETF
CONSUMIETF,ETF
TECH,ETF
EQUAL50ADD,ETF
MAHKTECH,ETF
BBETF0432,ETF
ALPHA,ETF
MONQ50,ETF
NIFTY50ADD,ETF
MIDQ50ADD,ETF
AUTOIETF,ETF
AUTOBEES,ETF
SILVERIETF,ETF
MAKEINDIA,ETF
SILVER,ETF
MIDCAP,ETF
SILVERBEES,ETF
MOMOMENTUM,ETF
GSEC5IETF,ETF
MIDCAPETF,ETF
LOWVOL1,ETF
MOLOWVOL,ETF
TNIDETF,ETF
MOHEALTH,ETF
CONS,ETF
MOM30IETF,ETF
HDFCNEXT50,ETF
HDFCNIF100,ETF
MNC,ETF
MOMENTUM,ETF
NIFTYQLITY,ETF
INFRAIETF,ETF
SILVERADD,ETF
MOQUALITY,ETF
MOVALUE,ETF
HDFCSILVER,ETF
AXISILVER,ETF
HDFCVALUE,ETF
HDFCGROWTH,ETF
HDFCQUAL,ETF
HDFCLOWVOL,ETF
HDFCMOMENT,ETF
HDFCNIFIT,ETF
HDFCPVTBAN,ETF
FINIETF,ETF
SILVER1,ETF
GSEC10IETF,ETF
EBBETF0433,ETF
COMMOIETF,ETF
BANKETFADD,ETF
LIQUID1,ETF
HDFCSML250,ETF
HDFCMID150,ETF
HDFCBSE500,ETF
GOLDETF,ETF
ABSLLIQUID,ETF
PSUBNKIETF,ETF
AXSENSEX,ETF
LOWVOL,ETF
GSEC10YEAR,ETF
SILVERETF,ETF
GOLDETFADD,ETF
SILVRETF,ETF
ITETFADD,ETF
BANKETF,ETF
LIQUID,ETF
PVTBANKADD,ETF
PSUBANKADD,ETF
SENSEXADD,ETF
QUAL30IETF,ETF
HDFCLIQUID,ETF
NIFMID150,ETF
SENSEXETF,ETF
MONIFTY500,ETF
ITETF,ETF
ALPHAETF,ETF
LIQUIDSBI,ETF
EGOLD,ETF
ESILVER,ETF
BBNPPGOLD,ETF
TATSILV,ETF
TATAGOLD,ETF
LIQUIDCASE,ETF
NIFTYBETF,ETF
BANKBETF,ETF
NIFITETF,ETF
NIF10GETF,ETF
NIF5GETF,ETF
HEALTHADD,ETF
HDFCPSUBK,ETF
LICNMID100,ETF
SMALLCAP,ETF
GOLDCASE,ETF
MOREALTY,ETF
MOSMALL250,ETF
LIQUIDADD,ETF
ABSLPSE,ETF
MIDSMALL,ETF
LIQUIDBETF,ETF
TOP100CASE,ETF
MID150CASE,ETF
BBNPNBETF,ETF
SBISILVER,ETF
LIQUIDSHRI,ETF
ABGSEC,ETF
EVINDIA,ETF
SBINEQWETF,ETF
OILIETF,ETF
GROWWEV,ETF
GSEC10ABSL,ETF
METALIETF,ETF
MODEFENCE,ETF
MULTICAP,ETF
TOP10ADD,ETF
EBANKNIFTY,ETF
GROWWLIQID,ETF
MOMENTUM50,ETF
BANKPSU,ETF
METAL,ETF
GROWWDEFNC,ETF
VAL30IETF,ETF
GROWWGOLD,ETF
EMULTIMQ,ETF
LIQUIDPLUS,ETF
CONSUMER,ETF
ECAPINSURE,ETF
NEXT30ADD,ETF
GROWWRAIL,ETF
UNIONGOLD,ETF
MSCIINDIA,ETF
GROWWN200,ETF
NIFTY100EW,ETF
AONETOTAL,ETF
MOCAPITAL,ETF
GOLD360,ETF
SELECTIPO,ETF
EQUAL200,ETF
CASHIETF,ETF
AXISVALUE,ETF
SILVERCASE,ETF
SBIBPB,ETF
MID150,ETF
AONELIQUID,ETF
SILVER360,ETF
EVIETF,ETF
GROWWMOM50,ETF
MON50EQUAL,ETF
MONEXT50,ETF
EQUAL50,ETF
MOINFRA,ETF
GROWWSLVR,ETF
AONENIFTY,ETF
MOMGF,ETF
MOPSE,ETF
MOTOUR,ETF
SNXT30BEES,ETF
GROWWLOVOL,ETF
TOP15IETF,ETF
MOMIDMTM,ETF
GROWWNET,ETF
ABB,Index
ADANIENSOL,Index
ADANIENT,Index
ADANIGREEN,Index
ADANIPORTS,Index
ADANIPOWER,Index
AMBUJACEM,Index
APOLLOHOSP,Index
ASIANPAINT,Index
DMART,Index
AXISBANK,Index
BAJAJ-AUTO,Index
BAJFINANCE,Index
BAJAJFINSV,Index
BAJAJHLDNG,Index
BAJAJHFL,Index
BANKBARODA,Index
BEL,Index
BPCL,Index
BHARTIARTL,Index
BOSCHLTD,Index
BRITANNIA,Index
